created_at,type,name,link
2026-05-25 15:34:26.091103+00,video,Scaling AI Systems for Decision Tracking and Automation,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/46a4f660-4c2e-45d2-a998-4ab74d4d0fad/recording_1779723275429.mp4
2026-05-25 14:50:26.623463+00,youtube,How I setup Openclaw (Moltbot) for my team (No Mac mini)- 20 mins,https://www.youtube.com/watch?v=3IzXSm7QFig
2026-05-25 14:50:10.452729+00,video,Building a Personal AI Assistant for Workflow Automation,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/f4587a80-4767-4906-b947-65929c59c800/recording_1779720620730.mp4
2026-05-25 14:00:18.512006+00,video,quick update to Hassan,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/fee5e926-d9d1-468d-84c0-713326c372e2/recording_1779717656950.mp4
2026-05-24 20:33:11.14547+00,audio,Know cap content strategy 100%.m4a,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/sources/b58a4c12-cfcd-49d5-9e96-86bcc8e51373/94a57252-147c-476f-8b3f-42b8e8e4d843-Know_cap_content_strategy_100_.m4a
2026-05-24 20:32:20.969224+00,audio,Ideas and tasks  important level 97%.m4a,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/sources/b58a4c12-cfcd-49d5-9e96-86bcc8e51373/ac2fca92-6332-460a-b4a7-69bcc6795794-Ideas_and_tasks_important_level_97_.m4a
2026-05-24 14:20:49.788238+00,youtube,I Watched How Anthropic’s Engineers Actually Write Code - It’s Not What ...,https://youtube.com/watch?v=N3ITC-XjGqA&si=vfoFfee7nmqgGNHe
2026-05-24 14:20:48.172296+00,youtube,Claude Just Changed Business Funding Forever,https://youtube.com/watch?v=Hk-OWK--n0g&si=McmkxmpS0CXZG0GI
2026-05-24 14:20:46.35634+00,youtube,Anthropic Just Taught How to Build Production AI Agents in 30 Minutes (F...,https://youtube.com/watch?v=X0ASQC5AfpI&si=q17zzQW8lVVEJEOk
2026-05-24 14:20:43.030716+00,youtube,How to Make Claude Code Your AI Engineering Team,https://youtube.com/watch?v=wkv2ifxPpF8&si=m_8d_f4cYv43cs56
2026-05-24 14:20:41.340861+00,youtube,What is an Agent Harness? and How to build a great one!,https://youtube.com/watch?v=nWzXyjXCoCE&si=3A8oSnBvz538rW-N
2026-05-24 14:20:39.673816+00,youtube,Andrej Karpathy: From Vibe Coding to Agentic Engineering,https://youtube.com/watch?v=96jN2OCOfLs&si=39-e-8JoXVBTB7N5
2026-05-24 14:20:38.020404+00,youtube,Creating Your Own Agentic OS is Easy (Insanely Powerful),https://youtube.com/watch?v=w0S-khYCaB4&si=0m7jBgoFVIUMuxzn
2026-05-24 14:20:36.313289+00,youtube,ChatGPT Finally Built The AI Coworker Claude Couldn't,https://youtube.com/watch?v=NCXYlZ-oAY0&si=ZoFBNESHaGiQ7FxK
2026-05-24 14:20:34.627291+00,youtube,Build Your Agentic OS Better Than The 99%,https://youtube.com/watch?v=-WCNwxz3uoM&si=4zpOS5GSRMaqUYmf
2026-05-24 14:20:32.905941+00,youtube,5 AI Skills That Will Be Worth $500K/Year by 2027,https://youtube.com/watch?v=9F-TcTlD5TE&si=B4Y9jetXQqjUlgMF
2026-05-24 14:20:31.275622+00,youtube,8 Claude Skills I Can’t Live Without,https://youtube.com/watch?v=bXnRA3pJavE&si=13ZI9BMpzm0I_gWG
2026-05-24 14:20:29.640054+00,youtube,THIS Gives Claude Skills a Massive Upgrade (It’s Easy!),https://youtube.com/watch?v=FD53kEpLh9c&si=vl8QASHIV9wSl55l
2026-05-24 14:20:26.424936+00,youtube,I Tried 100+ Claude Code Skills. These 6 Are The Best,https://youtube.com/watch?v=eRS3CmvrOvA&si=SxuqcY5Q9V7YoPnD
2026-05-24 14:20:24.793884+00,youtube,Tokenmaxxing: How Top Builders Use AI To Do The Work Of 400 Engineers,https://youtube.com/watch?v=57lDpTwiW6g&si=S9mpk8PfGpafxC5m
2026-05-24 14:20:23.103312+00,youtube,Claude Code With UNLIMITED Memory! Solves Claude's Memory Problem!,https://youtube.com/watch?v=qhuS__jC4n8&si=ws7pJlekl2dYGN9g
2026-05-24 14:20:21.446824+00,youtube,"Gemini’s Native Web Scraper: 100% ""Free"" & Multimodal",https://youtube.com/watch?v=pycp1b8Gh3o&si=XI525nGiomuOSIpd
2026-05-24 14:20:19.726906+00,youtube,He made $2.2M from building simple apps. Here's how (no-code),https://youtube.com/watch?v=2cDIFx4WWD0&si=GuY4L3NkLAcXB-3t
2026-05-24 14:20:18.021173+00,youtube,This Sandbox Tool Makes Claude Code Unstoppable (Code On Incus),https://youtube.com/watch?v=t78-JUnTK5Q&si=o3jmUPxaq9Uar0Rs
2026-05-24 14:20:16.407152+00,youtube,Claude Code's NEW Plan Mode Just Changed EVERYTHING,https://youtube.com/watch?v=fxj82iBWypA&si=SeTg-4nEGDY3f9D-
2026-05-24 14:20:14.729991+00,youtube,How AI Agents Search Their Memory,https://youtube.com/watch?v=SpReZZk_13w&si=8vhMRtnBdw7bh1G0
2026-05-24 14:20:10.827531+00,youtube,Claude Just Destroyed Every Video Editing Tool,https://youtube.com/watch?v=ZNbgOhxhzXg&si=R5GfxR3KecPP8QZg
2026-05-24 14:20:09.189518+00,youtube,Stop Using Claude Code in Terminal (It’s Holding You Back),https://youtube.com/watch?v=uhMCy25NBfw&si=IfNIn6u-2MhqHaNP
2026-05-24 14:20:07.512087+00,youtube,The 7 Levels of Claude Code & RAG,https://youtube.com/watch?v=kQu5pWKS8GA&si=RgrNUrU2gxT5tOHK
2026-05-24 14:20:05.89406+00,youtube,How to Never Hit Your Claude Session Limit Again,https://youtube.com/watch?v=_qZvORxGqI0&si=raVJvb7TmEQbJIbv
2026-05-24 14:20:04.234932+00,youtube,10 Insane Claude Code Use Cases Nobody Is Talking About (steal these),https://youtube.com/watch?v=2TgOyMdQGFQ&si=H64eFJi0XXVGJ897
2026-05-24 14:20:02.551848+00,youtube,How to Use Claude Routines Better than 99% of People,https://youtube.com/watch?v=LLE6oMh7SxE&si=ngnrgn1FTf_BBPYO
2026-05-24 14:20:00.894015+00,youtube,Master ALL 7 Levels of Claude Code Memory,https://youtube.com/watch?v=OMkdlwZxSt8&si=16PCw-rznjpnSyyV
2026-05-24 14:19:59.227219+00,youtube,Bart Mode + Claude Code: NEW Spec Toolkit Ends Vibe Coding! 100x Better Than Vibe Coding (Tutorial),https://youtube.com/watch?v=nD24henxjT8&si=HnhEdDOQSUzVqveO
2026-05-24 14:19:57.584537+00,youtube,How I Vibe Coded a $400K/mo App with Claude Code (Full Tutorial),https://www.youtube.com/watch?v=hDOUzlJwM1E
2026-05-24 14:19:55.988531+00,youtube,7 Tools That Make Claude Code + Codex Dangerous,https://youtube.com/watch?v=dBhNEVEXOxc&si=DlJsn6Cj_ewYh4ls
2026-05-24 14:19:54.379296+00,youtube,GitNexus: the 30k-star knowledge graph your AI agent needs (and doesn't have),https://youtube.com/watch?v=O6t94PrYimI&si=W4M-Nw08hx0MD4NW
2026-05-24 14:19:52.695099+00,youtube,OpenAI Symphony: First Looks,https://youtube.com/watch?v=5x3_U7b4eKU&si=wk-M_fIaqQ-mVQch
2026-05-24 14:19:51.056258+00,youtube,This Claude Code Setup Runs My Entire Business,https://youtube.com/watch?v=7aQbN543Mec&si=musj_YhowuQWuiAr
2026-05-24 14:19:49.435535+00,youtube,Master 80% of Claude Code. Just Learn These 15 Things.,https://youtube.com/watch?v=0qqV4yv-Hss&si=Tw_IZX5oSq8oP4s0
2026-05-24 14:19:47.773629+00,youtube,Open Design Is Every Vibe Coders Dream ,https://youtube.com/watch?v=MmTBkDmunk4&si=LVNl-14HxzcGLaox
2026-05-24 14:19:46.153655+00,youtube,This is The Most Powerful Tool to Give to Claude Code,https://youtube.com/watch?v=YHk45NEpspE&si=C1w5-Jx7rLw9P3YS
2026-05-24 14:19:44.516875+00,youtube,Claude Code Just HACKED YouTube's Algorithm and Nobody Knows!,https://youtube.com/watch?v=IcNDs-PlFg0&si=I-vmVe597q0upQ1D
2026-05-24 14:19:42.855878+00,youtube,"One Folder Runs Claude, Gemini, Codex, and even Obsidian (Free on GitHub)",https://youtube.com/watch?v=4C2w8eIG48A&si=tZKQR7nJBzMxZI8g
2026-05-24 14:19:41.207356+00,youtube,The Complete Claude Code Guide,https://youtube.com/watch?v=u8V8LXUm-20&si=G3giTmVpCrKoh6LF
2026-05-24 14:19:39.525664+00,youtube,"He Hit 1,000 Subs in 30 Days With Just Claude Code",https://youtube.com/watch?v=bzJ6aK9gZ0Y&si=zvxTC6oIn8GLs6OF
2026-05-24 14:19:37.678305+00,youtube,Claude Code Manager: Opus 4.7 + Verdent AI = Autopilot Coding! (Updated),https://youtube.com/watch?v=A89JYwuJvEw&si=fkdpaUS5JLGKWF-W
2026-05-23 00:00:30.816169+00,video,Troubleshooting 2026 P&L and COGS Reporting,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/38107fa7-26a3-48f4-90a9-44fc9f2e46d1/recording_1779494382979.mp4
2026-05-21 23:30:18.044698+00,video,Troubleshooting AI Model Programming Issues,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/2898d0bd-4d9a-4860-bb22-fde8bdca6ae4/recording_1779406231235.mp4
2026-05-21 21:43:56.360503+00,video,Financial Reconciliation for Investor Reporting,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/477f7c26-3343-4271-8163-231dfd668ce7/meeting.mp4
2026-05-21 17:02:26.111126+00,video,Financial Review,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/7e7eaf0e-d81a-4e71-95f6-d500ce519e3b/recording_1779382971698.mp4
2026-05-21 07:58:27.172878+00,audio,Strategic Discussion on AI for Cost Reduction and Efficiency,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/1e604fb1-b38e-4993-bd3e-081458a3d20f/1e604fb1-b38e-4993-bd3e-081458a3d20f.mp4
2026-05-20 03:55:20.524517+00,audio,Feature Idea: Inbox for Uploads,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/254795a3-583b-4cf7-b63b-3c3fd480003a/254795a3-583b-4cf7-b63b-3c3fd480003a.mp4
2026-05-20 03:53:11.079773+00,audio,Vision for a Self-Improving Organization System,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/0ad25bc6-226f-4762-abdb-a77ee56d2f51/0ad25bc6-226f-4762-abdb-a77ee56d2f51.mp4
2026-05-19 20:16:27.697064+00,video,Building a Custom App to Query a Google Drive Knowledge Base,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/6008694a-16ae-4f7f-94ea-53601379be0e/recording_1779221798679.mp4
2026-05-19 12:29:12.890486+00,video,knowcap trial agreement discussion- Abdelaziz,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/662030b7-6c59-41a5-9137-807e613db112/recording_1779193770900.mp4
2026-05-19 11:00:34.672885+00,video,Implementing the Landed Cost Workflow in the ERP System,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/361b111a-fafe-451a-8c91-6c3b3877281b/recording_1779188446406.mp4
2026-05-19 10:27:55.303667+00,video,Ahmed Ismail | ariika and Sam Arslan,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/4786fa2d-08e7-47d8-89a5-27bc5e6deb81/recording_1779186493099.mp4
2026-05-18 18:56:40.104754+00,video,Using Cloud Code for App Development and AI Marketing,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/b5a5f5dd-cbd9-4fff-a2a2-a7e5b6f5a150/recording_1779130620855.mp4
2026-05-18 10:25:25.050733+00,video,Hassan,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/49ef7b1c-6156-42d0-8936-6e3a7a2fda58/meeting.mp4
2026-05-18 10:25:24.494939+00,video,Hassan,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/sources/recordings/72ac2770-7a22-4f2a-a729-c0ff79ab4611/recording_1779101274842.mp4
2026-05-18 08:07:42.509939+00,video,Demonstration of Drag-and-Drop Functionality,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/f651b7b3-ed30-4efb-bd98-1d96c4ea6583/f651b7b3-ed30-4efb-bd98-1d96c4ea6583.mp4
2026-05-17 14:23:50.470119+00,video,Operations Meeting: Resolving Delivery & Sales Data Issues,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/3c008d3f-8942-488d-a415-7f7585817920/recording_1779027818914.mp4
2026-05-14 18:49:21.753458+00,video,AI-Powered Knowledge Graphs and Workflow Automation,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/34caf82e-75de-469d-aee0-f060c944d112/meeting.mp4
2026-05-14 10:38:30.101438+00,video,Ahmed Ismail | ariika and Sam Arslan,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/39212df7-e186-4d53-9b31-4fd3a1c12c33/recording_1778755120174.mp4
2026-05-13 12:41:27.055661+00,video,"Improving RAG with Claims, Evidence, and Contextual Files",https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/c60c9219-287d-441c-9c46-f622b27b54fa/recording_1778676091394.mp4
2026-05-13 11:18:31.323047+00,video,Joud Aljunaidy and Sam Arslan,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/599a6b73-0b99-4e50-96e8-a0c86f5f743a/recording_1778671128824.mp4
2026-05-13 10:30:06.549101+00,video,AI Recommendation Model Implementation Strategy,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/68627a12-ee8e-4aeb-8d7e-867c8c052b53/recording_1778668220117.mp4
2026-05-12 11:45:54.199509+00,video,Odoo: Unified Reporting for Locked Delivery Batches,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/5cc0c4bb-891f-4778-a5cc-62bd02453d2b/5cc0c4bb-891f-4778-a5cc-62bd02453d2b.mp4
2026-05-12 10:34:20.620373+00,video,Troubleshooting Dispatch System and Batch Cancellation,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/fb329eff-15bc-492b-b235-41c57a3b8231/recording_1778582075636.mp4
2026-05-12 10:34:19.670222+00,video,Technical Troubleshooting for Dispatch and Inventory System,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/sources/recordings/92eb8e40-1a7e-4f87-a029-b6a60bf27bb4/recording_1778582992995.mp4
2026-05-11 18:02:53.839603+00,video,Technical Sync on Bug Fixes and PR Workflow,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/ffe2e894-d79c-4a61-90fb-07b6557c8b73/meeting.mp4
2026-05-06 13:30:36.165475+00,video,Knowcap version 2,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/d35c6efc-25f1-46d6-8f71-861d47757429/meeting.mp4
2026-05-06 11:45:05.274556+00,video,Mostafa Talaat and Sam Arslan,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/990fa472-b498-4ff9-8c4e-508e9a7a73e5/meeting.mp4
2026-05-06 09:33:43.898556+00,video,Leveraging AI Agents for Business Automation,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/ce30581b-1d3f-4344-a3aa-3471fde7229b/recording_1778060044863.mp4
2026-05-05 13:24:54.856272+00,video,Odoo ERP Consultation for Shopify Integration and Accounting,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/ec55819f-6ea7-426f-9207-4407eac82062/recording_1777987505169.mp4
2026-05-05 12:43:58.296187+00,video,Troubleshooting Inventory Transfer Rules and User Permissions,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/e67edf37-7e68-46f2-a20a-333854bc89f9/recording_1777985057156.mp4
2026-05-05 12:23:38.309409+00,video,Mina Medhat | ariika and Sam Arslan,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/7efe9c42-3e5a-4fdc-8538-df5d4b1d9625/meeting.mp4
2026-05-04 12:20:36.210607+00,video,Technical Issues and Employee Performance Management,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/4547dee0-3182-4535-93c3-e9cab18a3dd0/recording_1777897249748.mp4
2026-05-04 11:34:33.854546+00,video,Performance Review: Addressing Developer Productivity and Workflow,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/36a06084-df6c-49f1-9590-9ba3ba6e6d07/meeting.mp4
2026-05-03 14:48:30.648765+00,video,Product Development Sync on Extension Updates and Pricing,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/8739f228-e9b0-4db2-b6fd-e90e282bf4cf/recording_1777819724678.mp4
2026-04-30 16:02:00.333537+00,video,Project Planning: Task Delegation and Feature Review,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/26655158-8975-49f8-ae78-2755f183cbea/meeting.mp4
2026-04-29 12:26:59.312454+00,video,Bug Report: Speaker Not Displayed Correctly in Memory View,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/4d45c11f-a7a9-471f-bbe8-0fbcd77d33d6/4d45c11f-a7a9-471f-bbe8-0fbcd77d33d6.mp4
2026-04-29 11:31:08.007325+00,video,Finalizing Payment Solutions and POS Implementation Contract,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/953f5e75-964f-418c-b5b7-11fdebe8287b/recording_1777462277980.mp4
2026-04-29 10:23:43.429499+00,video,Kynic Plugin Pilot Kick-off with Areeka,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/8b5b2b7c-0fe6-4a3b-b6ed-759080189d34/recording_1777458232646.mp4
2026-04-29 09:46:31.611138+00,video,Troubleshooting Customer Return and Code Validation Errors,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/3b4eda15-7818-48fe-a825-dd31d8167834/recording_1777456000365.mp4
2026-04-28 12:48:29.419358+00,video,Troubleshooting Logistics System Dispatch and Load Errors,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/sources/recordings/ac022396-4fbc-46cc-abdb-d33f8d1699b5/recording_1777381154075.mp4
2026-04-26 18:56:01.584114+00,video,Knowledge Graph and AI Memory Layer Architecture Review,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/f502ed8b-748c-47e7-9b0c-766c4d6a1ee1/recording_1777229776783.mp4
2026-04-26 12:19:02.687445+00,video,"API Billing Audit, Deployment Workflow, and Knowledge Management",https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/0f7b0760-4bf2-4114-9ed2-cb5df3ba6f9d/recording_1777205952088.mp4
2026-04-23 17:02:57.377827+00,audio,Diverse Montage of Unrelated Audio Clips,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/9334ec93-2897-4ca8-a35f-16a8f30ff2ad/9334ec93-2897-4ca8-a35f-16a8f30ff2ad.mp4
2026-04-23 14:25:57.981871+00,video,Inventory Strategy Discussion: Kits vs. Components,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/1778744a-0c38-45f3-9d51-af7b39b5c844/recording_1776954346508.mp4
2026-04-23 10:57:21.031566+00,video,Debugging Recording System and Enhancing Admin Dashboard,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/8aa623c3-f825-4df5-8ff3-bf6d77032a53/recording_1776941832280.mp4
2026-04-22 12:18:57.780115+00,video,Developer Contract Discussion on Performance and AI Adoption,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/e4499fd9-85ab-44c7-87e1-f34a5ad49b8b/recording_1776860334314.mp4
2026-04-22 12:18:56.857727+00,video,Discussion on Restructuring Development Services,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/290d97df-736e-4752-95f0-23694a2a45ce/recording_1776860335838.mp4
2026-04-22 12:00:27.582+00,video,Deven Sara Hassan,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/290d97df-736e-4752-95f0-23694a2a45ce/recording_1776860335838.mp4
2026-04-22 11:49:06.199231+00,video,"Meeting Recording - 4/22/2026, 11:49:06 AM",https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/bd8365c2-bf06-4d51-88da-b7e4b3a94dca/recording_1776858539676.mp4
2026-04-20 12:34:33.875119+00,video,Troubleshooting Data Duplication and Transcription Bugs,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/872544bd-79d5-4b2c-9168-7711e7f02ab9/recording_1776688462980.mp4
2026-04-20 12:05:53.728461+00,video,UX Feedback on Knowcap.ai Chat Interface,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/bd16499f-42f7-48d3-b05f-d4968a33cf07/bd16499f-42f7-48d3-b05f-d4968a33cf07.mp4
2026-04-20 10:35:13.43486+00,video,Hyperloop AI Platform Demo for E-commerce,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/32bbade4-f632-493b-a2fe-1b3535af903d/recording_1776681333559.mp4
2026-04-19 15:14:30.592491+00,audio,Building an AI-Powered Knowledge Base from Meetings,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/62552495-c743-4376-9dad-3f9f6d5cd37c/62552495-c743-4376-9dad-3f9f6d5cd37c.mp4
2026-04-16 15:07:38.310794+00,video,Debating Uniphonic for Odoo WhatsApp Automation,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/3e894ba1-511d-4caf-8501-65a5e632778a/recording_1776352052855.mp4
2026-04-16 13:15:29.151+00,meeting,Abdelrahman Elsayed and Sam Arslan,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/3a439f31-14a9-4789-bc62-89260babaac3/recording_1776347698658.mp4
